instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month,hr,rental_duration,workingday_duration,non_workingday_duration
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,0,16,0.0,16.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,1,40,0.0,40.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,2,32,0.0,32.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,3,13,0.0,13.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,4,1,0.0,1.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,5,1,0.0,1.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,6,2,0.0,2.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,7,3,0.0,3.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,8,8,0.0,8.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,9,14,0.0,14.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,10,36,0.0,36.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,11,56,0.0,56.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,12,84,0.0,84.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,13,94,0.0,94.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,14,106,0.0,106.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,15,110,0.0,110.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,16,93,0.0,93.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,17,67,0.0,67.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,18,35,0.0,35.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,19,37,0.0,37.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,20,36,0.0,36.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,21,34,0.0,34.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,22,28,0.0,28.0
1,2011-01-01,1,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,23,39,0.0,39.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,0,17,0.0,17.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,1,17,0.0,17.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,2,9,0.0,9.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,3,6,0.0,6.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,4,3,0.0,3.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,6,2,0.0,2.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,7,1,0.0,1.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,8,8,0.0,8.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,9,20,0.0,20.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,10,53,0.0,53.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,11,70,0.0,70.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,12,93,0.0,93.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,13,75,0.0,75.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,14,59,0.0,59.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,15,74,0.0,74.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,16,76,0.0,76.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,17,65,0.0,65.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,18,53,0.0,53.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,19,30,0.0,30.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,20,22,0.0,22.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,21,31,0.0,31.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,22,9,0.0,9.0
2,2011-01-02,1,2011,1,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1,23,8,0.0,8.0
3,2011-01-03,1,2011,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,120,1229,1349,1,0,5,5.0,0.0
3,2011-01-03,1,2011,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,120,1229,1349,1,1,2,2.0,0.0
3,2011-01-03,1,2011,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,120,1229,1349,1,4,1,1.0,0.0
